irb> index.linear_search([10000])
linear_search_from_cursor: page=25, level=0, current=(9841)
linear_search_from_cursor: page=25, level=0, current=(9842)
linear_search_from_cursor: page=25, level=0, current=(9843)
linear_search_from_cursor: page=25, level=0, current=(9844)
linear_search_from_cursor: page=25, level=0, current=(9845)
linear_search_from_cursor: page=25, level=0, current=(9846)
linear_search_from_cursor: page=25, level=0, current=(9847)
linear_search_from_cursor: page=25, level=0, current=(9848)
linear_search_from_cursor: page=25, level=0, current=(9849)
linear_search_from_cursor: page=25, level=0, current=(9850)
linear_search_from_cursor: page=25, level=0, current=(9851)
linear_search_from_cursor: page=25, level=0, current=(9852)
linear_search_from_cursor: page=25, level=0, current=(9853)
linear_search_from_cursor: page=25, level=0, current=(9854)
linear_search_from_cursor: page=25, level=0, current=(9855)
linear_search_from_cursor: page=25, level=0, current=(9856)
linear_search_from_cursor: page=25, level=0, current=(9857)
linear_search_from_cursor: page=25, level=0, current=(9858)
linear_search_from_cursor: page=25, level=0, current=(9859)
linear_search_from_cursor: page=25, level=0, current=(9860)
linear_search_from_cursor: page=25, level=0, current=(9861)
linear_search_from_cursor: page=25, level=0, current=(9862)
linear_search_from_cursor: page=25, level=0, current=(9863)
linear_search_from_cursor: page=25, level=0, current=(9864)
linear_search_from_cursor: page=25, level=0, current=(9865)
linear_search_from_cursor: page=25, level=0, current=(9866)
linear_search_from_cursor: page=25, level=0, current=(9867)
linear_search_from_cursor: page=25, level=0, current=(9868)
linear_search_from_cursor: page=25, level=0, current=(9869)
linear_search_from_cursor: page=25, level=0, current=(9870)
linear_search_from_cursor: page=25, level=0, current=(9871)
linear_search_from_cursor: page=25, level=0, current=(9872)
linear_search_from_cursor: page=25, level=0, current=(9873)
linear_search_from_cursor: page=25, level=0, current=(9874)
linear_search_from_cursor: page=25, level=0, current=(9875)
linear_search_from_cursor: page=25, level=0, current=(9876)
linear_search_from_cursor: page=25, level=0, current=(9877)
linear_search_from_cursor: page=25, level=0, current=(9878)
linear_search_from_cursor: page=25, level=0, current=(9879)
linear_search_from_cursor: page=25, level=0, current=(9880)
linear_search_from_cursor: page=25, level=0, current=(9881)
linear_search_from_cursor: page=25, level=0, current=(9882)
linear_search_from_cursor: page=25, level=0, current=(9883)
linear_search_from_cursor: page=25, level=0, current=(9884)
linear_search_from_cursor: page=25, level=0, current=(9885)
linear_search_from_cursor: page=25, level=0, current=(9886)
linear_search_from_cursor: page=25, level=0, current=(9887)
linear_search_from_cursor: page=25, level=0, current=(9888)
linear_search_from_cursor: page=25, level=0, current=(9889)
linear_search_from_cursor: page=25, level=0, current=(9890)
linear_search_from_cursor: page=25, level=0, current=(9891)
